code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL021878,38.09600886565029,38.09600886565029,38.09600886565029,38.09600886565029
AL031878,38.61699074477738,38.61699074477738,38.61699074477738,38.61699074477738
AL041878,18.00160142615899,18.00160142615899,18.00160142615899,18.00160142615899
AL051878,35.60657151508165,35.60657151508165,35.60657151508165,35.60657151508165
AL061878,35.982278888961105,35.982278888961105,35.982278888961105,35.982278888961105
AL071878,23.686010573226802,23.686010573226802,23.686010573226802,23.686010573226802
AL081878,24.509308282624794,24.509308282624794,24.509308282624794,24.509308282624794
AL091878,36.923174741726065,36.923174741726065,36.923174741726065,36.923174741726065
AL101878,35.486769543857655,35.486769543857655,35.486769543857655,35.486769543857655
AL111878,15.248413011370499,15.248413011370499,15.248413011370499,15.248413011370499
AL121878,46.17300507817574,46.17300507817574,46.17300507817574,46.17300507817574
AL011879,34.689480940940555,34.689480940940555,34.689480940940555,34.689480940940555
AL021879,39.82500518227941,39.82500518227941,39.82500518227941,39.82500518227941
AL031879,15.248413011370499,15.248413011370499,15.248413011370499,15.248413011370499
AL041879,13.282240185517816,13.282240185517816,13.282240185517816,13.282240185517816
AL051879,22.545897525427833,22.545897525427833,22.545897525427833,22.545897525427833
AL061879,44.866744830520396,44.866744830520396,44.866744830520396,44.866744830520396
AL071879,12.406606220290696,12.406606220290696,12.406606220290696,12.406606220290696
AL081879,24.128318492164613,24.128318492164613,24.128318492164613,24.128318492164613
AL011880,23.951740493256292,23.951740493256292,23.951740493256292,23.951740493256292
AL021880,38.09600886565029,38.09600886565029,38.09600886565029,38.09600886565029
AL031880,38.09600886565029,38.09600886565029,38.09600886565029,38.09600886565029
AL041880,24.36245724115765,24.36245724115765,24.36245724115765,24.36245724115765
AL051880,48.03525241156958,48.03525241156958,48.03525241156958,48.03525241156958
AL061880,16.977716092741055,16.977716092741055,16.977716092741055,16.977716092741055
AL071880,39.99749016524828,39.99749016524828,39.99749016524828,39.99749016524828
AL081880,49.01126710547126,49.01126710547126,49.01126710547126,49.01126710547126
AL091880,18.060928539515608,18.060928539515608,18.060928539515608,18.060928539515608
AL101880,39.60111681448172,39.60111681448172,39.60111681448172,39.60111681448172
AL111880,26.972598948165775,26.972598948165775,26.972598948165775,26.972598948165775
AL011881,9.916182036167632,9.916182036167632,9.916182036167632,9.916182036167632
AL031881,36.4590131318717,36.4590131318717,36.4590131318717,36.4590131318717
AL021881,16.977716092741055,16.977716092741055,16.977716092741055,16.977716092741055
AL041881,14.802060513549732,14.802060513549732,14.802060513549732,14.802060513549732
AL051881,42.33727883829136,42.33727883829136,42.33727883829136,42.33727883829136
AL061881,30.5282160469985,30.5282160469985,30.5282160469985,30.5282160469985
AL071881,42.01924394264198,42.01924394264198,42.01924394264198,42.01924394264198
AL011882,14.563764984125955,14.563764984125955,14.563764984125955,14.563764984125955
AL021882,24.437608631472166,24.437608631472166,24.437608631472166,24.437608631472166
AL031882,31.164234891374562,31.164234891374562,31.164234891374562,31.164234891374562
AL041882,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL051882,28.1828528753128,28.1828528753128,28.1828528753128,28.1828528753128
AL061882,23.012357693557405,23.012357693557405,23.012357693557405,23.012357693557405
AL011883,50.959922890957984,50.959922890957984,50.959922890957984,50.959922890957984
