code,name,formation_datetime,formation_lat,formation_lon,ACE,rhum_minus_0_days,rhum_minus_3_days,rhum_minus_7_days,rhum_minus_14_days,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL091970,DOROTHY,1970-08-18 00:00:00,11.5,315.7,3.67,70.29774475097656,41.750999450683594,81.33805847167969,31.83987045288086,27.48000144958496,27.48000144958496,27.48000144958496,27.48000144958496,35.982278888961105,35.982278888961105,35.982278888961105,35.982278888961105
AL201970,UNNAMED,1970-09-01 12:00:00,25.7,263.4,0.0,72.18684387207031,54.48341751098633,52.45096969604492,51.5163459777832,29.060001373291016,29.088001251220703,29.088001251220703,29.088001251220703,34.50850494267912,34.50850494267912,34.50850494267912,34.50850494267912
AL101970,UNNAMED,1970-09-03 12:00:00,17.4,316.0,1.0925,65.13069915771484,47.58861541748047,34.31486511230469,34.144962310791016,26.948001861572266,26.363000869750977,26.363000869750977,26.363000869750977,46.4704466166665,46.4704466166665,46.4704466166665,46.4704466166665
AL111970,UNNAMED,1970-09-05 12:00:00,15.0,342.0,0.0,79.18732452392578,57.88656997680664,54.39165115356445,70.73959350585938,27.910001754760746,27.910001754760746,27.67500114440918,27.67500114440918,26.78002864229383,26.78002864229383,26.78002864229383,26.78002864229383
AL121970,ELLA,1970-09-08 12:00:00,15.8,277.2,6.71,74.03174591064453,55.3462028503418,60.52745819091797,66.97728729248047,28.538002014160156,28.538002014160156,28.538002014160156,28.46000099182129,23.012357693557405,23.012357693557405,23.012357693557405,23.012357693557405
AL131970,FELICE,1970-09-12 00:00:00,25.4,282.5,2.1175,63.91844940185547,65.29341125488281,54.474945068359375,46.09969711303711,29.093002319335938,29.093002319335938,29.093002319335938,29.10000228881836,18.00160142615899,18.00160142615899,18.00160142615899,18.00160142615899
AL211970,UNNAMED,1970-09-19 18:00:00,26.8,304.7,0.8475,27.7033748626709,42.25691604614258,52.620479583740234,45.92806625366211,27.905000686645508,27.905000686645508,27.905000686645508,27.905000686645508,19.661981194482752,19.661981194482752,19.661981194482752,19.661981194482752
AL141970,UNNAMED,1970-09-22 12:00:00,15.5,339.0,0.0,54.604827880859375,61.39603805541992,60.88665771484375,57.46841049194336,27.18800163269043,27.18800163269043,27.18800163269043,27.18800163269043,26.326077720846907,26.326077720846907,26.326077720846907,26.326077720846907
AL161970,GRETA,1970-09-26 12:00:00,22.2,284.6,0.885,78.97322082519531,44.885311126708984,64.14701843261719,63.03706741333008,28.878002166748047,28.878002166748047,28.878002166748047,28.878002166748047,17.749321014055838,17.749321014055838,17.749321014055838,17.749321014055838
AL151970,UNNAMED,1970-09-30 12:00:00,15.0,305.5,15.0575,71.52099609375,52.43799591064453,57.44182586669922,41.83032989501953,28.150001525878903,28.150001525878903,28.150001525878903,28.150001525878903,44.8667448305204,44.8667448305204,44.8667448305204,44.8667448305204
