code,min_pressure_mb
AL142003,1007.0
AL142004,997.0
AL142005,962.0
AL142007,1005.0
AL142008,1004.0
AL142010,982.0
AL142011,983.0
AL142012,978.0
AL142013,980.0
AL142016,934.0
AL142017,962.0
AL142018,919.0
AL142019,994.0
AL142020,991.0
AL142021,988.0
AL142022,997.0
AL142023,969.0
AL142024,895.0
AL151887,
AL151916,1002.0
AL151932,
AL151933,
AL151936,983.0
AL151949,
AL151950,
AL151954,1005.0
AL151966,
AL151967,1012.0
AL151968,
AL151969,
AL151970,989.0
AL151971,
AL151972,
AL151973,
AL151974,
AL151975,939.0
AL151976,
AL151977,
AL151978,987.0
AL151979,983.0
AL151980,
AL151981,988.0
AL151984,999.0
