code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL011966,1.046862742160378,7.160159612917503,6.22119046551787,11.116779187116581
AL011967,3.9760291707467252,12.162981949940598,16.514249214728878,16.396657039958654
AL011968,7.440062202371095,3.7783015004001834,10.675988413882529,11.166889297822095
AL011970,2.9791852518401916,13.691798242018553,12.699180714865555,9.607170209944568
AL011971,16.6759094930944,4.2417475510998255,1.8478597840015283,6.339015127522806
AL011972,16.953107405549407,26.680449306079865,25.153343648145704,13.865122164748398
AL011973,18.844197733624938,34.66160757618678,14.299878582639822,27.05395200881302
AL011974,2.416539972800514,9.825902428757257,15.204713399726694,13.331475066037578
AL011975,9.566494511864637,7.01929314544615,7.571145114749137,6.8712599006922925
AL011976,14.73044526654133,24.107409187906402,15.832436760220665,20.65527115383436
AL011977,20.59993744119737,21.592585463973094,23.307534615675774,19.156184721851396
AL011978,24.833526859235032,40.3911111742662,34.017401418427184,23.023957022549
AL011979,11.574440712521199,22.192684650073367,10.06790493367156,30.45996498952633
AL011980,8.573125752528943,5.799953673091553,11.286657010154752,15.97564827610522
AL011981,30.66666215811435,34.230206051607276,35.398580148617484,25.64888730711
AL011982,18.94451904717812,22.01129922376591,28.833544955438544,43.02588290898544
AL011983,5.797112918383725,4.484973510551504,2.467152746776365,5.547337246366937
AL011984,11.208479141942513,9.899985363267625,31.63253414146652,26.082389115974575
AL011985,5.411663923500212,4.760561740340962,19.399744874519353,11.426351042421265
AL011986,12.410294953191912,19.49204673358514,30.827613026350118,26.866312955334557
AL011987,22.28603451490235,46.676196855889096,45.18718570394999,34.33438023932776
AL011988,13.395919014396293,4.0065630667157714,13.351084181291096,12.579497784172322
AL011989,9.886697402200161,18.68247501387638,18.869486372952657,16.699156461147787
AL011990,21.179538814147172,13.69504206940759,11.217473791987505,24.556791681985626
AL011991,5.874396141675206,6.0118811990832315,11.165240121696632,6.259365851618453
AL011992,26.542137680146535,24.402038051853403,44.79631585354199,37.59521556964546
AL011993,20.661744432837338,33.499472789112644,34.601653068261086,38.2138887565308
AL011994,5.239629441779219,14.434634376813998,10.07918420972713,5.037194074637481
AL011995,3.16445605003497,8.831522632282194,15.359449160952309,8.86771756126052
AL011996,13.388353643419471,16.52442116014673,17.96649821387162,20.85577455730883
AL011997,6.460114898148084,2.8509786388593237,23.69758426584496,36.38610159886617
AL011998,5.5542807988893195,12.482742267490943,8.039330521226935,17.94460573713057
AL011999,9.071067191099065,15.335467347850585,18.60082999857182,14.781917915259877
AL012000,12.307346669014615,13.012494816997924,22.92835138915171,25.97910009222415
AL012001,18.338576740713517,23.31744862989936,28.51454304540076,45.57079690323162
