code,formation_datetime,formation_lat,formation_lon
AL021998,1998-08-19 12:00:00,14.7,311.9
AL021999,1999-07-02 18:00:00,20.2,265.0
AL022000,2000-06-23 00:00:00,9.5,340.2
AL022001,2001-07-11 18:00:00,10.9,317.9
AL022002,2002-08-04 18:00:00,29.0,271.5
AL022003,2003-06-11 00:00:00,9.5,319.2
AL022004,2004-08-03 12:00:00,12.9,306.4
AL022005,2005-06-28 18:00:00,19.7,264.6
AL022006,2006-07-16 12:00:00,37.2,291.3
AL022007,2007-05-31 00:00:00,18.1,273.0
AL022008,2008-07-03 06:00:00,12.7,337.1
AL022009,2009-08-10 06:00:00,14.3,336.0
AL022010,2010-07-07 06:00:00,21.5,268.9
AL022011,2011-07-16 06:00:00,30.7,280.3
AL022012,2012-05-25 12:00:00,30.1,283.9
AL022013,2013-06-16 00:00:00,12.4,278.5
AL022014,2014-07-19 12:00:00,9.0,331.0
AL022015,2015-06-16 00:00:00,27.0,265.7
AL022016,2016-05-27 06:00:00,27.2,287.9
AL022017,2017-06-18 18:00:00,7.5,310.4
AL022018,2018-07-04 12:00:00,10.0,325.1
AL022019,2019-07-10 12:00:00,28.5,273.5
AL022020,2020-05-27 06:00:00,31.5,281.2
AL022021,2021-06-13 18:00:00,31.9,281.9
AL022022,2022-06-27 18:00:00,8.3,309.5
AL022023,2023-05-31 18:00:00,26.4,274.1
AL022024,2024-06-28 12:00:00,8.9,320.4
AL031851,1851-07-10 12:00:00,12.0,300.0
AL031852,1852-09-09 00:00:00,26.4,269.6
AL031853,1853-08-30 00:00:00,12.1,336.8
AL031854,1854-09-07 00:00:00,26.4,283.4
AL031855,1855-08-11 12:00:00,12.5,277.0
AL031856,1856-08-19 00:00:00,32.5,284.5
AL031857,1857-09-22 00:00:00,32.5,286.5
AL031858,1858-09-14 00:00:00,25.2,275.4
AL031859,1859-09-02 00:00:00,17.3,300.3
AL031860,1860-09-11 12:00:00,40.0,309.5
AL031861,1861-08-25 00:00:00,34.4,298.0
AL031862,1862-09-12 00:00:00,22.2,304.0
AL031863,1863-08-19 00:00:00,26.5,293.4
AL031864,1864-08-26 00:00:00,14.8,305.5
AL031865,1865-08-20 00:00:00,30.3,281.7
AL031866,1866-09-04 00:00:00,33.0,291.9
AL031867,1867-08-02 12:00:00,14.0,283.0
AL031868,1868-10-05 00:00:00,17.0,279.4
AL031869,1869-08-27 00:00:00,32.7,313.3
AL031870,1870-09-01 00:00:00,16.0,332.4
AL031871,1871-08-14 00:00:00,26.5,287.6
AL031872,1872-09-09 00:00:00,12.5,300.6
AL031873,1873-09-18 00:00:00,22.7,270.1
AL031874,1874-08-29 00:00:00,13.6,325.5
AL031875,1875-09-08 00:00:00,13.9,304.7
AL031876,1876-09-16 00:00:00,19.0,302.2
AL031877,1877-09-16 00:00:00,25.5,309.5
AL031878,1878-08-19 00:00:00,35.5,299.5
AL031879,1879-08-19 00:00:00,16.7,278.9
AL031880,1880-08-15 00:00:00,14.1,301.2
AL031881,1881-08-11 00:00:00,16.0,329.0
AL031882,1882-09-14 00:00:00,26.5,268.5
AL031883,1883-09-04 00:00:00,14.0,302.1
AL031884,1884-09-10 00:00:00,28.7,280.9
AL031885,1885-08-29 00:00:00,25.0,266.6
AL031886,1886-06-27 12:00:00,18.3,280.3
AL031887,1887-06-11 12:00:00,20.5,276.0
AL031888,1888-08-14 12:00:00,23.0,289.0
AL031889,1889-08-19 06:00:00,16.8,290.8
AL031890,1890-08-26 12:00:00,16.6,305.7
AL031891,1891-08-18 12:00:00,13.3,302.0
AL031892,1892-09-03 06:00:00,11.5,327.0
AL031893,1893-08-13 12:00:00,9.6,309.5
AL031894,1894-08-30 00:00:00,13.2,325.2
AL031895,1895-09-28 00:00:00,19.3,274.0
AL031896,1896-09-18 00:00:00,17.1,304.9
AL031897,1897-09-20 12:00:00,24.3,276.2
AL031898,1898-09-03 06:00:00,40.8,317.9
AL031899,1899-08-03 00:00:00,11.7,329.0
AL031900,1900-09-08 12:00:00,10.0,341.5
AL031901,1901-07-04 00:00:00,9.5,304.5
AL031902,1902-09-16 06:00:00,7.7,329.2
AL031903,1903-09-09 06:00:00,21.4,287.6
AL031904,1904-09-28 00:00:00,12.0,280.0
AL031905,1905-09-24 06:00:00,17.7,276.0
AL031906,1906-08-22 06:00:00,28.7,306.9
AL031907,1907-09-27 06:00:00,22.3,265.9
AL031908,1908-07-24 12:00:00,27.5,285.0
AL031909,1909-06-26 12:00:00,21.0,288.0
AL031910,1910-09-05 06:00:00,17.0,301.7
AL031911,1911-08-23 06:00:00,25.2,294.5
AL031912,1912-09-02 00:00:00,38.2,287.5
AL031913,1913-08-26 12:00:00,12.5,339.0
AL031915,1915-08-27 12:00:00,18.0,315.5
AL031916,1916-07-10 06:00:00,11.5,307.9
AL031917,1917-08-30 06:00:00,15.5,315.5
AL031918,1918-08-23 06:00:00,27.7,286.7
AL031919,1919-09-02 00:00:00,33.0,287.3
AL031920,1920-09-19 06:00:00,30.4,283.2
AL031921,1921-09-06 00:00:00,10.0,320.0
AL031922,1922-09-18 00:00:00,28.8,280.6
AL031923,1923-09-07 00:00:00,11.7,340.6
AL031924,1924-08-16 06:00:00,10.5,305.4
AL031925,1925-09-06 00:00:00,22.0,266.8
AL031926,1926-08-20 12:00:00,12.5,284.5
AL031927,1927-09-22 12:00:00,10.3,324.0
AL031928,1928-09-01 18:00:00,17.2,287.2
AL031929,1929-09-25 00:00:00,32.0,293.5
AL031930,1930-10-18 12:00:00,20.0,264.5
AL031931,1931-08-10 18:00:00,13.5,299.0
AL031932,1932-08-26 18:00:00,20.5,290.8
AL031933,1933-07-14 00:00:00,14.9,300.0
AL031934,1934-07-22 06:00:00,32.1,280.6
AL031935,1935-08-29 06:00:00,23.3,291.2
AL031936,1936-06-26 18:00:00,26.2,264.5
AL031937,1937-08-24 12:00:00,17.5,299.0
AL031938,1938-08-10 00:00:00,11.2,301.4
AL031939,1939-08-15 00:00:00,31.4,298.0
AL031940,1940-08-05 18:00:00,18.9,295.2
AL031941,1941-09-18 00:00:00,26.8,281.3
AL031942,1942-08-23 12:00:00,14.8,286.0
AL031943,1943-08-19 06:00:00,13.5,304.5
AL031944,1944-07-30 12:00:00,21.5,291.0
AL031945,1945-08-02 00:00:00,13.6,301.7
AL031946,1946-08-25 00:00:00,21.0,266.0
AL031947,1947-08-18 18:00:00,23.3,278.0
AL031948,1948-08-26 00:00:00,20.4,299.4
AL031949,1949-08-30 18:00:00,11.9,304.2
AL031950,1950-08-21 12:00:00,11.1,333.6
AL031951,1951-08-02 06:00:00,20.9,307.1
AL031952,1952-08-27 18:00:00,32.2,282.4
AL031953,1953-08-11 06:00:00,22.8,285.6
AL031954,1954-06-24 12:00:00,22.2,266.3
AL031955,1955-08-07 06:00:00,15.7,318.8
AL031956,1956-08-09 06:00:00,13.5,312.8
