code,nao
AL091952,0.42
AL091953,0.75
AL091954,2.49
AL091955,0.82
AL091956,1.26
AL091958,-0.23
AL091959,-1.81
AL091961,1.0
AL091963,2.79
AL091964,0.5
AL091965,-1.26
AL091966,-0.47
AL091968,0.5
AL091969,-1.62
AL091970,-0.2
AL091971,0.07
AL091972,0.11
AL091973,2.32
AL091974,0.89
AL091975,1.75
AL091976,0.62
AL091977,1.64
AL091978,0.05
AL091979,-0.85
AL091980,1.72
AL091981,1.01
AL091984,-1.31
AL091985,0.0
AL091986,-1.34
AL091987,1.27
AL091988,0.8
AL091989,1.76
AL091990,3.31
AL091991,-1.77
AL091992,0.99
AL091993,-2.6
AL091994,-2.85
AL091995,-1.33
AL091996,-2.23
AL091997,-2.26
AL091998,-3.48
AL091999,-0.51
AL092000,-1.1
AL092001,-3.83
AL092002,-3.58
AL092003,-0.99
AL092004,2.51
AL092005,0.94
AL092006,-1.02
AL092007,-1.18
AL092008,-2.07
AL092009,-0.63
AL092010,-2.38
AL092011,-2.41
AL092012,-0.44
AL092013,-0.57
AL092014,0.31
AL092015,-1.65
AL092016,2.14
AL092017,-0.04
AL092018,0.45
AL092019,-0.32
AL092020,-1.23
AL092021,-2.44
AL092022,-3.73
AL092023,-1.75
AL092024,-4.19
AL101869,-0.79
AL101870,1.3
AL101878,-1.44
AL101880,-3.2
AL101886,-0.55
AL101887,-2.56
AL101891,-1.53
AL101893,-0.97
AL101898,-1.15
AL101899,1.94
AL101901,-0.09
AL101903,1.04
AL101906,0.4
AL101908,0.24
AL101909,-1.29
AL101916,-2.59
AL101924,0.5
AL101926,-4.16
AL101931,-0.11
AL101932,-0.93
AL101933,2.65
AL101934,0.76
AL101936,2.67
AL101937,-2.41
AL101942,-0.21
AL101943,0.45
AL101944,0.36
AL101945,-0.22
AL101947,-0.51
AL101948,2.64
AL101949,-1.81
AL101950,0.78
AL101951,-0.13
AL101952,0.42
AL101953,0.77
AL101954,2.49
AL101955,0.82
AL101956,1.23
AL101958,1.65
AL101959,1.51
AL101961,-2.15
AL101963,-1.77
AL101964,0.5
AL101965,-1.78
AL101966,-0.47
AL101968,0.5
AL101970,0.47
AL101971,0.07
AL101972,0.11
AL101973,-0.79
AL101974,0.89
AL101975,1.75
AL101976,0.62
AL101977,1.64
AL101978,0.05
AL101979,-0.85
AL101980,1.72
AL101981,1.01
AL101984,-1.31
AL101985,0.0
AL101986,3.41
AL101987,1.27
AL101988,0.8
AL101989,1.76
AL101990,-0.99
AL101991,-1.77
AL101992,-3.33
AL101993,-2.6
AL101994,-2.85
AL101995,-1.33
AL101996,-0.07
AL101998,-3.48
AL101999,-0.51
AL102000,-1.1
AL102001,-3.83
AL102002,-3.58
AL102003,-0.99
AL102004,2.51
AL102005,0.94
AL102006,-1.02
AL102007,-1.18
AL102008,-2.07
AL102009,-1.53
AL102010,-2.38
AL102011,-2.41
AL102012,-0.44
AL102013,-0.57
AL102015,-1.65
AL102016,2.45
AL102018,0.45
AL102019,-0.32
AL102020,-1.23
AL102021,-2.44
AL102022,-3.73
AL102023,-1.75
AL102024,-4.19
AL111870,1.3
AL111878,-1.44
AL111880,-3.2
AL111886,-0.55
AL111887,-1.14
AL111893,0.32
AL111898,-1.15
AL111901,-0.47
AL111906,0.7
AL111909,0.59
AL111916,-2.59
AL111924,-0.21
AL111926,0.12
AL111931,2.78
AL111932,0.05
AL111933,2.65
AL111934,0.76
AL111936,2.67
